Datetime, WindSpeed, WindGust_10min, WindSpeed_10min, WindSpeed_1min, WindDir_1min, WindDir_10min  
2023-07-18 15:59:09:252512,0.0,0.0,0.0,0.0,186,184
2023-07-18 15:59:09:594960,0.0,0.0,0.0,0.0,186,184
2023-07-18 15:59:09:937960,0.0,0.0,0.0,0.0,186,184
2023-07-18 15:59:10:281210,0.0,0.0,0.0,0.0,186,184
2023-07-18 15:59:10:631304,0.0,0.0,0.0,0.0,186,184
2023-07-18 15:59:10:986619,0.0,0.0,0.0,0.0,186,184
2023-07-18 15:59:11:328683,0.0,0.0,0.0,0.0,186,184
2023-07-18 15:59:11:676807,0.0,0.0,0.0,0.0,186,184
2023-07-18 15:59:12:019780,0.0,0.0,0.0,0.0,186,184
2023-07-18 15:59:12:362807,0.0,0.0,0.0,0.0,186,184
2023-07-18 15:59:12:708806,0.0,0.0,0.0,0.0,186,184
2023-07-18 15:59:13:056067,0.0,0.0,0.0,0.0,186,184
2023-07-18 15:59:13:399067,0.0,0.0,0.0,0.0,186,184
2023-07-18 15:59:13:746068,0.0,0.0,0.0,0.0,186,184
2023-07-18 15:59:14:091886,0.0,0.0,0.0,0.0,186,184
2023-07-18 15:59:14:434787,0.0,0.0,0.0,0.0,186,184
2023-07-18 15:59:14:782654,0.0,0.0,0.0,0.0,186,184
2023-07-18 15:59:15:129474,0.0,0.0,0.0,0.0,186,184
2023-07-18 15:59:15:471476,0.0,0.0,0.0,0.0,186,184
2023-07-18 15:59:15:816867,0.0,0.0,0.0,0.0,186,184
2023-07-18 15:59:16:160099,0.0,0.0,0.0,0.0,186,184
2023-07-18 15:59:16:527768,0.0,0.0,0.0,0.0,186,185
2023-07-18 15:59:16:870766,0.0,0.0,0.0,0.0,186,185
2023-07-18 15:59:17:216911,0.0,0.0,0.0,0.0,186,185
2023-07-18 15:59:17:560205,0.0,0.0,0.0,0.0,186,185
2023-07-18 15:59:17:904154,0.0,0.0,0.0,0.0,186,185
2023-07-18 15:59:18:246639,0.0,0.0,0.0,0.0,186,185
2023-07-18 15:59:18:592086,0.0,0.0,0.0,0.0,186,185
2023-07-18 15:59:18:935539,0.0,0.0,0.0,0.0,186,185
2023-07-18 15:59:19:278704,0.0,0.0,0.0,0.0,186,185
2023-07-18 15:59:19:625704,0.0,0.0,0.0,0.0,186,185
2023-07-18 15:59:19:969704,0.0,0.0,0.0,0.0,186,185
2023-07-18 15:59:20:312704,0.0,0.0,0.0,0.0,186,185
2023-07-18 15:59:20:656704,0.0,0.0,0.0,0.0,186,185
2023-07-18 15:59:21:001904,0.0,0.0,0.0,0.0,186,185
2023-07-18 15:59:21:346030,0.0,0.0,0.0,0.0,186,185
2023-07-18 15:59:21:688207,0.0,0.0,0.0,0.0,186,185
2023-07-18 15:59:22:032333,0.0,0.0,0.0,0.0,186,185
2023-07-18 15:59:22:374706,0.0,0.0,0.0,0.0,186,185
2023-07-18 15:59:22:717593,0.0,0.0,0.0,0.0,186,185
2023-07-18 15:59:23:060669,0.0,0.0,0.0,0.0,186,185
2023-07-18 15:59:23:404669,0.0,0.0,0.0,0.0,186,185
2023-07-18 15:59:23:749544,0.0,0.0,0.0,0.0,186,185
2023-07-18 15:59:24:099515,0.0,0.0,0.0,0.0,186,185
2023-07-18 15:59:24:444515,0.0,0.0,0.0,0.0,186,185
2023-07-18 15:59:24:794515,0.0,0.0,0.0,0.0,186,185
2023-07-18 15:59:25:142515,0.0,0.0,0.0,0.0,186,185
2023-07-18 15:59:25:487515,0.0,0.0,0.0,0.0,186,185
2023-07-18 15:59:25:830463,0.0,0.0,0.0,0.0,186,185
2023-07-18 15:59:26:173515,0.0,0.0,0.0,0.0,186,185
2023-07-18 15:59:26:520587,0.0,0.0,0.0,0.0,186,185
2023-07-18 15:59:26:863838,0.0,0.0,0.0,0.0,186,185
2023-07-18 15:59:27:227917,0.0,0.0,0.0,0.0,186,185
2023-07-18 15:59:27:574039,0.0,0.0,0.0,0.0,186,185
2023-07-18 15:59:27:916214,0.0,0.0,0.0,0.0,186,185
2023-07-18 15:59:28:261311,0.0,0.0,0.0,0.0,186,185
2023-07-18 15:59:28:603991,0.0,0.0,0.0,0.0,186,185
2023-07-18 15:59:28:948937,0.0,0.0,0.0,0.0,186,185
2023-07-18 15:59:29:292017,0.0,0.0,0.0,0.0,186,185
2023-07-18 15:59:29:634965,0.0,0.0,0.0,0.0,186,185
2023-07-18 15:59:29:980150,1.0,1.0,0.0,0.0,186,185
2023-07-18 15:59:30:323398,1.0,1.0,0.0,0.0,186,185
2023-07-18 15:59:30:665472,1.0,1.0,0.0,0.0,186,185
2023-07-18 15:59:31:008524,1.5,1.5,0.0,0.0,186,185
2023-07-18 15:59:31:352524,1.5,1.5,0.0,0.0,186,185
2023-07-18 15:59:31:994781,2.5,2.5,0.0,0.0,186,185
2023-07-18 15:59:32:345780,2.5,2.5,0.0,0.0,186,185
2023-07-18 15:59:32:687913,2.5,2.5,0.0,0.0,186,185
2023-07-18 15:59:33:046287,2.0,2.5,0.0,0.1,186,185
2023-07-18 15:59:33:389234,2.0,2.5,0.0,0.1,186,185
2023-07-18 15:59:33:733234,2.0,2.5,0.0,0.1,186,185
