Datetime, WindSpeed, WindGust_10min, WindSpeed_10min, WindSpeed_1min, WindDir_1min, WindDir_10min  
2023-07-18 16:01:17:593058,0.0,2.5,0.0,0.0,186,185
2023-07-18 16:01:17:943109,0.0,2.5,0.0,0.0,186,185
2023-07-18 16:01:18:295584,0.0,2.5,0.0,0.0,186,185
2023-07-18 16:01:18:655584,0.0,2.5,0.0,0.0,186,185
2023-07-18 16:01:18:998651,0.0,2.5,0.0,0.0,186,185
2023-07-18 16:01:19:342651,0.0,2.5,0.0,0.0,186,185
2023-07-18 16:01:19:684626,0.0,2.5,0.0,0.0,186,185
2023-07-18 16:01:20:028777,0.0,2.5,0.0,0.0,186,185
2023-07-18 16:01:20:370777,0.0,2.5,0.0,0.0,186,185
2023-07-18 16:01:20:714899,0.0,2.5,0.0,0.0,186,185
2023-07-18 16:01:21:058900,0.0,2.5,0.0,0.0,186,185
2023-07-18 16:01:21:401899,0.0,2.5,0.0,0.0,186,185
2023-07-18 16:01:21:744899,0.0,2.5,0.0,0.0,186,185
2023-07-18 16:01:22:093899,0.0,2.5,0.0,0.0,186,185
2023-07-18 16:01:22:437149,0.0,2.5,0.0,0.0,186,185
2023-07-18 16:01:22:783348,0.0,2.5,0.0,0.0,186,185
2023-07-18 16:01:23:132400,0.0,2.5,0.0,0.0,186,185
2023-07-18 16:01:23:475400,0.0,2.5,0.0,0.0,186,185
2023-07-18 16:01:23:826400,0.0,2.5,0.0,0.0,186,185
2023-07-18 16:01:24:169400,0.0,2.5,0.0,0.0,186,185
2023-07-18 16:01:24:514400,0.0,2.5,0.0,0.0,186,185
2023-07-18 16:01:24:867598,0.0,2.5,0.0,0.0,186,185
2023-07-18 16:01:25:214650,0.0,2.5,0.0,0.0,186,185
2023-07-18 16:01:25:556597,0.0,2.5,0.0,0.0,186,185
2023-07-18 16:01:25:901171,0.0,2.5,0.0,0.0,186,185
2023-07-18 16:01:26:243738,0.0,2.5,0.0,0.0,186,185
2023-07-18 16:01:26:601133,0.0,2.5,0.0,0.0,186,185
2023-07-18 16:01:26:945402,0.0,2.5,0.0,0.0,186,185
2023-07-18 16:01:27:288168,0.0,2.5,0.0,0.0,186,185
2023-07-18 16:01:27:634116,0.0,2.5,0.0,0.0,186,185
2023-07-18 16:01:27:977167,0.0,2.5,0.0,0.0,186,185
2023-07-18 16:01:28:319313,0.5,2.5,0.0,0.0,186,185
2023-07-18 16:01:28:662974,0.5,2.5,0.0,0.0,186,185
2023-07-18 16:01:29:006820,0.5,2.5,0.0,0.0,186,185
2023-07-18 16:01:29:349895,1.0,2.5,0.0,0.0,186,185
2023-07-18 16:01:29:693071,1.0,2.5,0.0,0.0,186,185
2023-07-18 16:01:30:036020,1.0,2.5,0.0,0.0,186,185
2023-07-18 16:01:30:381261,1.5,2.5,0.0,0.0,186,185
2023-07-18 16:01:30:726704,1.5,2.5,0.0,0.0,185,185
2023-07-18 16:01:31:069808,1.5,2.5,0.0,0.0,185,185
2023-07-18 16:01:31:411807,1.5,2.5,0.0,0.0,185,185
2023-07-18 16:01:31:756756,1.5,2.5,0.0,0.0,185,185
2023-07-18 16:01:32:143817,1.5,2.5,0.0,0.0,185,185
2023-07-18 16:01:32:494568,1.5,2.5,0.0,0.1,185,185
2023-07-18 16:01:32:837580,1.5,2.5,0.0,0.1,185,185
2023-07-18 16:01:33:181017,1.5,2.5,0.0,0.1,185,185
2023-07-18 16:01:33:526531,1.0,2.5,0.0,0.1,185,185
2023-07-18 16:01:33:869634,1.0,2.5,0.0,0.1,185,185
2023-07-18 16:01:34:213662,1.0,2.5,0.0,0.1,185,185
2023-07-18 16:01:34:558662,1.0,2.5,0.0,0.1,185,185
2023-07-18 16:01:34:905735,1.0,2.5,0.0,0.1,185,185
2023-07-18 16:01:35:250648,0.5,2.5,0.0,0.1,185,185
2023-07-18 16:01:35:610173,0.5,2.5,0.0,0.1,185,185
2023-07-18 16:01:35:961251,0.5,2.5,0.0,0.1,185,185
2023-07-18 16:01:36:306373,0.5,2.5,0.0,0.1,185,185
2023-07-18 16:01:36:648374,0.5,2.5,0.0,0.1,185,185
2023-07-18 16:01:36:992374,0.5,2.5,0.0,0.1,185,185
2023-07-18 16:01:37:335322,0.5,2.5,0.0,0.1,185,185
2023-07-18 16:01:37:679374,0.5,2.5,0.0,0.1,185,185
2023-07-18 16:01:38:022443,0.5,2.5,0.0,0.1,185,185
2023-07-18 16:01:38:365443,0.5,2.5,0.0,0.1,185,185
2023-07-18 16:01:38:712444,0.5,2.5,0.0,0.1,185,185
2023-07-18 16:01:39:055882,0.5,2.5,0.0,0.1,185,185
2023-07-18 16:01:39:403816,0.5,2.5,0.0,0.1,185,185
2023-07-18 16:01:39:747253,0.5,2.5,0.0,0.1,185,185
2023-07-18 16:01:40:090374,0.5,2.5,0.0,0.1,185,185
2023-07-18 16:01:40:441291,0.5,2.5,0.0,0.1,185,185
2023-07-18 16:01:40:784363,0.5,2.5,0.0,0.1,185,185
2023-07-18 16:01:41:130539,0.5,2.5,0.0,0.1,185,185
2023-07-18 16:01:41:475487,0.0,2.5,0.0,0.1,185,185
2023-07-18 16:01:41:817488,0.0,2.5,0.0,0.1,185,185
2023-07-18 16:01:42:162667,0.0,2.5,0.0,0.1,185,185
2023-07-18 16:01:42:507667,0.0,2.5,0.0,0.1,185,185
2023-07-18 16:01:42:852742,0.0,2.5,0.0,0.1,185,185
2023-07-18 16:01:43:195795,0.0,2.5,0.0,0.1,185,185
2023-07-18 16:01:43:539958,0.0,2.5,0.0,0.1,185,185
2023-07-18 16:01:43:882957,0.0,2.5,0.0,0.1,185,185
2023-07-18 16:01:44:228959,0.0,2.5,0.0,0.1,185,185
2023-07-18 16:01:44:571958,0.0,2.5,0.0,0.1,185,185
2023-07-18 16:01:44:926394,0.0,2.5,0.0,0.1,185,185
2023-07-18 16:01:45:271408,0.0,2.5,0.0,0.1,185,185
2023-07-18 16:01:45:614408,0.0,2.5,0.0,0.1,185,185
2023-07-18 16:01:45:957407,0.0,2.5,0.0,0.1,185,185
2023-07-18 16:01:46:311513,0.5,2.5,0.0,0.1,185,185
2023-07-18 16:01:46:653768,0.5,2.5,0.0,0.1,185,185
2023-07-18 16:01:46:996421,0.5,2.5,0.0,0.1,185,185
2023-07-18 16:01:47:339138,0.0,2.5,0.0,0.1,185,185
2023-07-18 16:01:47:683260,0.0,2.5,0.0,0.1,185,185
2023-07-18 16:01:48:026260,0.0,2.5,0.0,0.1,185,185
2023-07-18 16:01:48:368327,0.5,2.5,0.0,0.2,185,185
2023-07-18 16:01:48:711327,0.5,2.5,0.0,0.2,185,185
2023-07-18 16:01:49:058576,0.5,2.5,0.0,0.2,185,185
2023-07-18 16:01:49:403864,0.0,2.5,0.0,0.2,185,185
2023-07-18 16:01:49:753464,0.0,2.5,0.0,0.2,185,185
2023-07-18 16:01:50:096507,0.0,2.5,0.0,0.2,185,185
2023-07-18 16:01:50:443631,0.0,2.5,0.0,0.2,185,185
2023-07-18 16:01:50:791631,0.0,2.5,0.0,0.2,185,185
2023-07-18 16:01:51:134591,0.0,2.5,0.0,0.2,185,185
2023-07-18 16:01:51:478630,0.0,2.5,0.0,0.2,185,185
2023-07-18 16:01:51:824884,0.0,2.5,0.0,0.2,185,185
2023-07-18 16:01:52:167871,0.0,2.5,0.0,0.2,185,185
2023-07-18 16:01:52:510834,0.0,2.5,0.0,0.2,185,185
2023-07-18 16:01:52:855834,0.0,2.5,0.0,0.2,185,185
2023-07-18 16:01:53:198918,0.0,2.5,0.0,0.2,185,185
2023-07-18 16:01:53:541950,0.0,2.5,0.0,0.2,185,185
2023-07-18 16:01:53:884025,0.0,2.5,0.0,0.2,185,185
2023-07-18 16:01:54:226102,0.0,2.5,0.0,0.2,185,185
2023-07-18 16:01:54:567965,0.0,2.5,0.0,0.2,185,185
2023-07-18 16:01:54:913016,0.0,2.5,0.0,0.2,185,185
2023-07-18 16:01:55:255016,0.0,2.5,0.0,0.2,185,185
2023-07-18 16:01:55:607016,0.0,2.5,0.0,0.2,185,185
2023-07-18 16:01:55:952016,0.0,2.5,0.0,0.2,185,185
