Datetime, WindSpeed, WindGust_10min, WindSpeed_10min, WindSpeed_1min, WindDir_1min, WindDir_10min  
2023-07-20 13:15:21:353678,0.0,0.0,0.1,78.2,2,0
2023-07-20 13:15:41:604429,0.0,0.0,0.0,0.0,153,154
2023-07-20 13:18:29:033925,0.0,0.0,0.0,0.0,153,154
2023-07-20 13:18:30:039095,0.0,0.0,0.1,78.2,2,0
2023-07-20 13:43:43:867042,0.0,0.0,0.0,0.0,143,143
2023-07-20 13:43:44:856042,0.0,0.0,0.1,78.2,2,0
2023-07-20 13:47:22:389123,0.0,0.0,0.0,0.0,143,143
2023-07-20 13:47:22:588123,0.0,0.0,0.0,0.0,143,143
2023-07-20 13:47:22:662124,0.0,0.0,0.0,0.0,143,143
2023-07-20 13:47:23:201487,0.0,0.0,0.0,0.0,143,143
2023-07-20 13:47:23:281608,0.0,0.0,0.0,0.0,143,143
2023-07-20 13:47:23:347028,0.0,0.0,0.0,0.0,143,143
2023-07-20 13:47:24:412390,0.0,0.0,0.0,0.0,143,143
2023-07-20 13:47:24:477708,0.0,0.0,0.0,0.0,143,143
2023-07-20 13:47:24:549203,0.0,0.0,0.0,0.0,143,143
2023-07-20 13:47:25:100941,0.0,0.0,0.0,0.0,143,143
2023-07-20 13:47:25:167939,0.0,0.0,0.0,0.0,143,143
2023-07-20 13:47:25:229992,0.0,0.0,0.0,0.0,143,143
2023-07-20 13:47:26:390636,0.0,0.0,0.0,0.0,143,143
2023-07-20 13:47:26:455641,0.0,0.0,0.0,0.0,143,143
2023-07-20 13:47:26:519636,0.0,0.0,0.0,0.0,143,143
2023-07-20 13:47:27:083537,0.0,0.0,0.0,0.0,143,143
2023-07-20 13:47:27:148537,0.0,0.0,0.0,0.0,143,143
2023-07-20 13:47:27:213902,0.0,0.0,0.0,0.0,143,143
2023-07-20 13:47:28:417134,1.0,1.0,0.0,0.0,143,143
2023-07-20 13:47:28:482136,1.0,1.0,0.0,0.0,143,143
2023-07-20 13:47:28:558149,1.0,1.0,0.0,0.0,143,143
2023-07-20 13:47:29:089149,1.0,1.0,0.0,0.0,143,143
2023-07-20 13:47:29:180375,1.0,1.0,0.0,0.0,143,143
2023-07-20 13:47:29:248297,1.0,1.0,0.0,0.0,143,143
2023-07-20 13:47:30:401544,2.0,2.0,0.0,0.0,143,143
2023-07-20 13:47:30:475545,2.0,2.0,0.0,0.0,143,143
2023-07-20 13:47:30:539876,2.0,2.0,0.0,0.0,143,143
2023-07-20 13:47:31:113570,2.0,2.0,0.0,0.0,143,143
2023-07-20 13:47:31:185569,2.0,2.0,0.0,0.0,143,143
2023-07-20 13:47:31:252568,2.0,2.0,0.0,0.0,143,143
2023-07-20 13:47:32:410654,2.5,2.5,0.0,0.1,144,143
2023-07-20 13:47:32:510004,2.5,2.5,0.0,0.1,144,143
2023-07-20 13:47:32:578004,2.5,2.5,0.0,0.1,144,143
2023-07-20 13:47:33:096176,2.5,2.5,0.0,0.1,144,143
2023-07-20 13:47:33:162995,2.5,2.5,0.0,0.1,144,143
2023-07-20 13:47:33:239599,2.5,2.5,0.0,0.1,144,143
2023-07-20 13:47:34:404298,2.0,2.5,0.0,0.2,145,143
2023-07-20 13:47:34:473298,2.0,2.5,0.0,0.2,145,143
2023-07-20 13:47:34:539300,2.0,2.5,0.0,0.2,145,143
2023-07-20 13:47:35:088512,2.0,2.5,0.0,0.2,146,143
2023-07-20 13:47:35:159110,2.0,2.5,0.0,0.2,146,143
2023-07-20 13:47:35:223356,2.0,2.5,0.0,0.2,146,143
2023-07-20 13:47:36:406580,1.5,2.5,0.0,0.2,146,143
2023-07-20 13:47:36:479706,1.5,2.5,0.0,0.2,146,143
2023-07-20 13:47:36:550703,1.5,2.5,0.0,0.2,146,143
2023-07-20 13:47:37:088306,1.5,2.5,0.0,0.2,147,144
2023-07-20 13:47:37:151699,1.5,2.5,0.0,0.2,147,144
2023-07-20 13:47:37:214722,1.5,2.5,0.0,0.2,147,144
2023-07-20 13:47:38:407307,1.0,2.5,0.0,0.3,148,144
2023-07-20 13:47:38:472303,1.0,2.5,0.0,0.3,148,144
2023-07-20 13:47:38:582304,1.0,2.5,0.0,0.3,148,144
2023-07-20 13:47:39:101007,1.0,2.5,0.0,0.3,148,144
2023-07-20 13:47:39:166495,1.0,2.5,0.0,0.3,148,144
2023-07-20 13:47:39:229156,1.0,2.5,0.0,0.3,148,144
2023-07-20 13:47:40:392967,0.5,2.5,0.0,0.3,149,144
2023-07-20 13:47:40:459996,0.5,2.5,0.0,0.3,149,144
2023-07-20 13:47:40:528968,0.5,2.5,0.0,0.3,149,144
2023-07-20 13:47:41:088955,0.5,2.5,0.0,0.3,149,144
2023-07-20 13:47:41:157690,0.5,2.5,0.0,0.3,149,144
2023-07-20 13:47:41:221139,0.5,2.5,0.0,0.3,149,144
2023-07-20 13:47:42:407007,0.5,2.5,0.0,0.3,150,144
2023-07-20 13:47:42:471470,0.5,2.5,0.0,0.3,150,144
2023-07-20 13:47:42:535115,0.5,2.5,0.0,0.3,150,144
2023-07-20 13:47:43:098177,0.5,2.5,0.0,0.3,150,144
2023-07-20 13:47:43:173062,0.5,2.5,0.0,0.3,150,144
2023-07-20 13:47:43:240056,0.5,2.5,0.0,0.3,150,144
2023-07-20 13:47:44:407172,0.0,2.5,0.0,0.3,151,144
2023-07-20 13:47:44:472415,0.0,2.5,0.0,0.3,151,144
2023-07-20 13:47:44:534415,0.0,2.5,0.0,0.3,151,144
2023-07-20 13:47:45:087493,0.0,2.5,0.0,0.3,151,144
2023-07-20 13:47:45:152490,0.0,2.5,0.0,0.3,151,144
2023-07-20 13:47:45:220542,0.5,2.5,0.0,0.3,151,144
2023-07-20 13:47:46:397720,0.5,2.5,0.0,0.3,152,145
2023-07-20 13:47:46:460671,0.5,2.5,0.0,0.3,152,145
2023-07-20 13:47:46:527667,0.5,2.5,0.0,0.3,152,145
2023-07-20 13:47:47:395470,0.5,2.5,0.0,0.3,152,145
2023-07-20 13:47:47:463078,0.5,2.5,0.0,0.3,152,145
2023-07-20 13:47:47:540072,0.5,2.5,0.0,0.3,152,145
2023-07-20 13:47:48:416014,0.5,2.5,0.0,0.3,152,145
2023-07-20 13:47:48:482015,0.5,2.5,0.0,0.3,152,145
2023-07-20 13:47:48:546194,0.5,2.5,0.0,0.3,152,145
2023-07-20 13:47:49:087895,0.5,2.5,0.0,0.3,152,145
2023-07-20 13:47:49:151594,0.5,2.5,0.0,0.3,152,145
2023-07-20 13:47:49:215061,0.5,2.5,0.0,0.4,152,145
2023-07-20 13:47:50:396214,0.5,2.5,0.0,0.4,152,145
2023-07-20 13:47:50:486214,0.5,2.5,0.0,0.4,152,145
2023-07-20 13:47:50:550215,0.5,2.5,0.0,0.4,152,145
2023-07-20 13:47:51:104019,0.5,2.5,0.0,0.4,152,145
2023-07-20 13:47:51:172037,0.5,2.5,0.0,0.4,152,145
2023-07-20 13:47:51:236276,0.0,2.5,0.0,0.4,152,145
2023-07-20 13:47:52:406018,0.0,2.5,0.0,0.4,151,145
2023-07-20 13:47:52:471542,0.0,2.5,0.0,0.4,151,145
2023-07-20 13:47:52:543030,0.0,2.5,0.0,0.4,151,145
2023-07-20 13:47:53:098403,0.0,2.5,0.0,0.4,151,145
2023-07-20 13:47:53:163067,0.0,2.5,0.0,0.4,151,145
2023-07-20 13:47:53:226975,0.0,2.5,0.0,0.4,151,145
2023-07-20 13:47:54:400227,0.5,2.5,0.0,0.4,151,146
2023-07-20 13:47:54:471648,0.5,2.5,0.0,0.4,151,146
2023-07-20 13:47:54:533070,0.5,2.5,0.0,0.4,151,146
2023-07-20 13:47:55:085539,0.5,2.5,0.0,0.4,151,146
2023-07-20 13:47:55:149051,0.5,2.5,0.0,0.4,151,146
2023-07-20 13:47:55:213591,2.0,2.5,0.0,0.4,151,146
2023-07-20 13:47:56:405856,3.0,3.0,0.0,0.5,151,146
2023-07-20 13:47:56:468856,3.0,3.0,0.0,0.5,151,146
2023-07-20 13:47:56:533804,3.0,3.0,0.0,0.5,151,146
2023-07-20 13:47:57:090008,3.0,3.0,0.0,0.5,150,146
2023-07-20 13:47:57:156008,3.0,3.0,0.0,0.5,150,146
2023-07-20 13:47:57:223467,3.0,3.0,0.0,0.5,150,146
2023-07-20 13:47:58:405676,2.5,3.0,0.0,0.5,149,146
2023-07-20 13:47:58:472630,2.5,3.0,0.0,0.5,149,146
2023-07-20 13:47:58:565485,2.5,3.0,0.0,0.5,149,146
2023-07-20 13:47:59:095578,2.5,3.0,0.0,0.5,149,146
2023-07-20 13:47:59:197578,3.0,3.0,0.0,0.6,149,146
2023-07-20 13:47:59:266580,3.0,3.0,0.0,0.6,149,146
2023-07-20 13:48:00:408812,3.0,3.0,0.0,0.6,150,146
2023-07-20 13:48:00:481828,3.0,3.0,0.0,0.6,150,146
2023-07-20 13:48:00:550811,3.0,3.0,0.0,0.6,150,146
2023-07-20 13:48:01:085502,3.0,3.0,0.0,0.6,153,146
2023-07-20 13:48:01:151965,3.0,3.0,0.0,0.7,153,146
2023-07-20 13:48:01:214547,3.0,3.0,0.0,0.7,153,146
2023-07-20 13:48:02:403194,2.0,3.0,0.0,0.7,156,146
2023-07-20 13:48:02:471141,2.0,3.0,0.0,0.7,156,146
2023-07-20 13:48:02:547628,2.0,3.0,0.0,0.7,156,146
2023-07-20 13:48:03:098081,2.0,3.0,0.0,0.7,159,147
2023-07-20 13:48:03:199211,2.5,3.0,0.0,0.8,159,147
2023-07-20 13:48:03:262210,2.5,3.0,0.0,0.8,159,147
2023-07-20 13:48:04:402791,3.0,3.0,0.0,0.8,163,147
2023-07-20 13:48:04:469790,3.0,3.0,0.0,0.8,163,147
2023-07-20 13:48:04:534796,3.0,3.0,0.0,0.8,163,147
2023-07-20 13:48:05:083425,3.0,3.0,0.0,0.8,167,147
2023-07-20 13:48:05:154543,2.5,3.0,0.0,0.9,167,147
2023-07-20 13:48:05:220540,2.5,3.0,0.0,0.9,167,147
2023-07-20 13:48:06:402794,1.5,3.0,0.0,0.9,171,148
2023-07-20 13:48:06:468791,1.5,3.0,0.0,0.9,171,148
