Datetime, WindSpeed, WindGust_10min, WindSpeed_10min, WindSpeed_1min, WindDir_1min, WindDir_10min  
2023-07-20 16:13:31:948960,0.0,2.5,0.0,0.0,149,148
2023-07-20 16:13:32:016960,0.0,2.5,0.0,0.0,149,148
2023-07-20 16:13:32:581967,0.0,2.5,0.0,0.0,149,148
2023-07-20 16:13:32:675023,0.0,2.5,0.0,0.0,149,148
2023-07-20 16:13:32:754961,0.0,2.5,0.0,0.0,149,148
2023-07-20 16:13:33:732962,0.0,2.5,0.0,0.0,149,148
2023-07-20 16:13:33:798977,0.0,2.5,0.0,0.0,149,148
2023-07-20 16:13:33:869029,0.0,2.5,0.0,0.0,149,148
2023-07-20 16:13:34:431962,0.0,2.5,0.0,0.0,149,148
2023-07-20 16:13:34:499019,0.0,2.5,0.0,0.0,149,148
2023-07-20 16:13:34:567961,0.0,2.5,0.0,0.0,149,148
2023-07-20 16:13:35:834960,0.0,2.5,0.0,0.0,149,148
2023-07-20 16:13:35:903961,0.0,2.5,0.0,0.0,149,148
2023-07-20 16:13:35:971962,0.0,2.5,0.0,0.0,149,148
2023-07-20 16:13:36:444816,0.0,2.5,0.0,0.0,149,148
2023-07-20 16:13:36:516816,0.0,2.5,0.0,0.0,149,148
2023-07-20 16:13:36:583870,0.0,2.5,0.0,0.0,149,148
2023-07-20 16:13:37:733963,0.0,2.5,0.0,0.0,149,148
2023-07-20 16:13:37:803964,0.0,2.5,0.0,0.0,149,148
2023-07-20 16:13:37:872963,0.0,2.5,0.0,0.0,149,148
2023-07-20 16:13:38:427966,0.0,2.5,0.0,0.0,149,148
2023-07-20 16:13:38:498963,0.0,2.5,0.0,0.0,149,148
2023-07-20 16:13:38:572965,0.0,2.5,0.0,0.0,149,148
2023-07-20 16:13:39:755964,1.0,2.5,0.0,0.0,149,148
2023-07-20 16:13:39:825965,1.0,2.5,0.0,0.0,149,148
2023-07-20 16:13:39:895964,1.0,2.5,0.0,0.0,149,148
2023-07-20 16:13:40:477785,2.0,2.5,0.0,0.0,149,148
2023-07-20 16:13:40:554784,2.0,2.5,0.0,0.0,149,148
2023-07-20 16:13:40:621784,2.0,2.5,0.0,0.0,149,148
2023-07-20 16:13:41:757785,2.5,2.5,0.0,0.0,149,148
2023-07-20 16:13:41:831784,2.5,2.5,0.0,0.0,149,148
2023-07-20 16:13:41:903786,2.5,2.5,0.0,0.0,149,148
2023-07-20 16:13:42:433790,2.0,2.5,0.0,0.1,149,148
2023-07-20 16:13:42:503784,2.0,2.5,0.0,0.1,149,148
2023-07-20 16:13:42:575786,2.0,2.5,0.0,0.1,149,148
2023-07-20 16:13:43:743784,1.5,2.5,0.0,0.1,149,148
2023-07-20 16:13:43:822785,1.5,2.5,0.0,0.1,149,148
2023-07-20 16:13:43:894785,1.5,2.5,0.0,0.1,149,148
2023-07-20 16:13:44:434785,1.0,2.5,0.0,0.1,149,148
2023-07-20 16:13:44:506787,1.0,2.5,0.0,0.1,149,148
2023-07-20 16:13:44:585785,1.0,2.5,0.0,0.1,149,148
2023-07-20 16:13:45:741787,1.0,2.5,0.0,0.1,149,148
2023-07-20 16:13:45:812785,1.0,2.5,0.0,0.1,149,148
2023-07-20 16:13:45:884784,1.0,2.5,0.0,0.1,149,148
2023-07-20 16:13:46:437786,1.0,2.5,0.0,0.2,149,148
2023-07-20 16:13:46:507784,1.0,2.5,0.0,0.2,149,148
2023-07-20 16:13:46:577785,1.0,2.5,0.0,0.2,149,148
2023-07-20 16:13:47:739788,1.0,2.5,0.0,0.2,149,148
2023-07-20 16:13:47:808785,1.0,2.5,0.0,0.2,149,148
2023-07-20 16:13:47:885787,1.0,2.5,0.0,0.2,149,148
2023-07-20 16:13:48:452838,0.5,2.5,0.0,0.2,149,148
2023-07-20 16:13:48:521813,0.5,2.5,0.0,0.2,149,148
2023-07-20 16:13:48:585784,0.5,2.5,0.0,0.2,149,148
2023-07-20 16:13:49:737615,0.5,2.5,0.0,0.2,149,148
2023-07-20 16:13:49:802668,0.5,2.5,0.0,0.2,149,148
2023-07-20 16:13:49:869616,0.5,2.5,0.0,0.2,149,148
2023-07-20 16:13:50:430380,0.5,2.5,0.0,0.2,149,148
2023-07-20 16:13:50:494384,0.5,2.5,0.0,0.2,149,148
2023-07-20 16:13:50:562380,0.5,2.5,0.0,0.2,149,148
2023-07-20 16:13:51:734494,0.5,2.5,0.0,0.2,149,148
